T(K) pCO2(bar) A_K(W/m^2) A_C(W/m^2) B(W/m^2/K) albedo OLR(W/m^2)
362.72727272727275 6.312455892334162e-05 303.4261821774522 307.52258457703687 0.014996896941551138 0.1809062536515405 308.865965704433
362.72727272727275 6.61369292983935e-05 302.4637094892896 307.21284526018894 0.01738654867618286 0.18090631259754175 308.7702848727414
362.72727272727275 6.92930531575293e-05 301.6059888199866 306.9211297998251 0.01945868929100681 0.18090637435650003 308.6641861173609
362.72727272727275 7.259979056827507e-05 300.84895416917493 306.6467635285297 0.02122573442926861 0.18090643906265197 308.5481069303369
362.72727272727275 7.606432896779765e-05 300.1885812140945 306.3890775877025 0.02269996841884692 0.18090650685664003 308.42247884965803
362.72727272727275 7.969419878532864e-05 299.6208873095909 306.1474089275632 0.023893544272276475 0.1809065778858176 308.2877274592621
362.72727272727275 8.349728981010646e-05 299.14193148811825 305.9211003071481 0.024818483686728305 0.18090665230457098 308.1442723890315
362.72727272727275 8.74818683404141e-05 298.74781445973787 305.70950029431214 0.025486677044020946 0.18090673027465226 307.99252731479635
362.72727272727275 9.165659515098683e-05 298.4346786121197 305.511963265728 0.025909883410610957 0.1809068119655341 307.8328999583322
362.72727272727275 9.603054431784369e-05 298.19870801053935 305.3278494068859 0.02609973053760404 0.18090689755477538 307.6657920873612
362.72727272727275 0.00010061322294145963 298.0361283978796 305.15652471209387 0.02606771486075125 0.18090698722840806 307.49159951555214
362.72727272727275 0.00010541459181114802 297.9432071946339 304.99736098447863 0.02582520150043839 0.18090708118134236 307.3107121025202
362.72727272727275 0.00011044508705556975 297.91625349890074 304.84973583598463 0.025383424261701943 0.18090717961778935 307.1235137538272
362.72727272727275 0.00011571564282642681 297.9516180863859 304.71303268737364 0.024753485634222135 0.18090728275170442 306.930382420981
362.72727272727275 0.00012123771506464596 298.04569341040263 304.5866407682251 0.023946356792320926 0.18090739080725415 306.7316901014354
362.72727272727275 0.00012702330640070953 298.1949136018749 304.46995511693785 0.02297287759495864 0.18090750401930117 306.5278028385917
362.72727272727275 0.0001330849922432564 298.39575446932787 304.36237658072645 0.02184375658575342 0.1809076226339163 306.31908072179664
362.72727272727275 0.0001394359481126582 298.6447334989017 304.2633118156258 0.020569570992949305 0.18090774690891342 306.1058778863442
362.72727272727275 0.00014608997827898266 298.9384098543383 304.17217328648655 0.019160766729446364 0.1809078771144082 305.88854251347385
362.72727272727275 0.00015306154576659093 299.27338437698853 304.08837926697817 0.01762765839278652 0.18090801353340707 305.667416830372
362.72727272727275 0.00016036580379058537 299.64629958581156 304.01135383958825 0.015980429265153567 0.18090815646242125 305.4428371101718
362.72727272727275 0.00016801862869343808 300.0538396773744 303.9405268956218 0.01422913131337137 0.1809083062121107 305.21513367195183
362.72727272727275 0.00017603665445338997 300.4927305258492 303.8753341352017 0.012383685188916322 0.18090846310796116 304.98463088073794
362.72727272727275 0.00018443730883962683 300.95973968301973 303.81521706727 0.010453880227897724 0.18090862749098965 304.75164714750264
362.72727272727275 0.00019323885129281845 301.451676378273 303.75962300958435 0.008449374451075695 0.1809087997184866 304.51649492916323
362.72727272727275 0.00020246041261335698 301.96539151860526 303.70800508872196 0.006379694563853921 0.1809089801647924 304.279480728585
362.72727272727275 0.00021212203654355982 302.4977776886217 303.6598222400776 0.004254235956272652 0.18090916922211017 304.04090509457876
362.72727272727275 0.00022224472333421893 303.04576915053144 303.6145392078641 0.0020822627030299334 0.18090936730135948 303.8010626219032
362.72727272727275 0.00023285047539019167 303.6063418441548 303.57162654511114 -0.00012709243655026906 0.18090957483306813 303.5602419512607
